5,0.362
10,0.566
15,0.715
20,0.823
25,0.936
30,0.994
35,0.732
40,0.687
45,0.652
50,0.592
55,0.581
60,0.552
70,0.527
75,0.508
80,0.494
85,0.481
90,0.472
95,0.459
105,0.446
110,0.433
115,0.424
120,0.412
125,0.4
130,0.404
135,0.38
140,0.381
145,0.373
150,0.361
155,0.356
160,0.354
165,0.335
170,0.318
175,0.319
180,0.307
190,0.297
195,0.282
200,0.277
205,0.255
210,0.259
215,0.257
220,0.234
225,0.226
230,0.221
235,0.21
240,0.195
255,0.176
270,0.143
285,0.107
300,0.0717
315,0.0494
330,0.0329
345,0.0223
360,0.0153
